gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3051380613,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:1109232,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer platanoides,,SPECIES,Acer platanoides L.,Acer platanoides,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.57142999906778,-74.13436,,,,,,,2006-01-01T00:00:00,,,2006,3189846,3189846,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,1109232,,,,CC0_1_0,,,,,2021-03-12T02:19:37.271Z,,COORDINATE_REPROJECTED
3050895856,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:688562,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus palustris,,SPECIES,Quercus palustris Münchh.,Quercus palustris,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.8753949990663,-73.87655499999998,,,,,,,2005-01-01T00:00:00,,,2005,8313153,8313153,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,688562,,,,CC0_1_0,,,,,2021-03-11T21:23:47.597Z,,COORDINATE_REPROJECTED;COORDINATE_ROUNDED
3051021856,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:947960,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Pyrus,Pyrus calleryana,,SPECIES,Pyrus calleryana Decne.,Pyrus calleryana,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.7509609990669,-73.78641,,,,,,,2005-01-01T00:00:00,,,2005,5363119,5363119,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,947960,,,,CC0_1_0,,,,,2021-03-11T23:05:05.129Z,,COORDINATE_REPROJECTED;COORDINATE_ROUNDED
3050842915,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:605167,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gleditsia,Gleditsia triacanthos,,SPECIES,Gleditsia triacanthos L.,Gleditsia triacanthos,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.78143399906675,-73.97833100000001,,,,,,,2005-01-01T00:00:00,,,2005,2959443,2959443,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,605167,,,,CC0_1_0,,,,,2021-03-11T20:48:11.819Z,,COORDINATE_REPROJECTED;COORDINATE_ROUNDED
3051086196,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:1080127,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer platanoides,,SPECIES,Acer platanoides L.,Acer platanoides,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.74870999906691,-73.91758,,,,,,,2005-01-01T00:00:00,,,2005,3189846,3189846,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,1080127,,,,CC0_1_0,,,,,2021-03-11T23:47:15.618Z,,COORDINATE_REPROJECTED
3051228890,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:794499,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,Ginkgo biloba,,SPECIES,Ginkgo biloba L.,Ginkgo biloba,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.71434899906708,-73.92971,,,,,,,2005-01-01T00:00:00,,,2005,2687885,2687885,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,794499,,,,CC0_1_0,,,,,2021-03-12T01:27:56.190Z,,COORDINATE_REPROJECTED;COORDINATE_ROUNDED
3051239226,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:822458,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer platanoides,,SPECIES,Acer platanoides L.,Acer platanoides,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.63212999906747,-73.959807,,,,,,,2005-01-01T00:00:00,,,2005,3189846,3189846,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,822458,,,,CC0_1_0,,,,,2021-03-12T01:38:09.770Z,,COORDINATE_REPROJECTED;COORDINATE_ROUNDED
3050904892,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:689287,Plantae,Tracheophyta,Magnoliopsida,Proteales,Platanaceae,Platanus,Platanus hybrida,,SPECIES,Platanus ×acerifolia (Aiton) Willd.,Platanus acerifolia,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.812875999066605,-73.860981,,,,,,,2006-01-01T00:00:00,,,2006,3152815,3152814,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,689287,,,,CC0_1_0,,,,,2021-03-11T21:24:03.103Z,,COORDINATE_REPROJECTED;COORDINATE_ROUNDED
3051016941,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:947503,Plantae,Tracheophyta,Magnoliopsida,Proteales,Platanaceae,Platanus,Platanus hybrida,,SPECIES,Platanus ×acerifolia (Aiton) Willd.,Platanus acerifolia,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.575925999067756,-73.859779,,,,,,,2005-01-01T00:00:00,,,2005,3152815,3152814,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,947503,,,,CC0_1_0,,,,,2021-03-11T23:04:59.647Z,,COORDINATE_REPROJECTED;COORDINATE_ROUNDED
3051039973,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:990849,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Pyrus,Pyrus calleryana,,SPECIES,Pyrus calleryana Decne.,Pyrus calleryana,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.67197499906728,-73.80538,,,,,,,2005-01-01T00:00:00,,,2005,5363119,5363119,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,990849,,,,CC0_1_0,,,,,2021-03-11T23:18:41.830Z,,COORDINATE_REPROJECTED;COORDINATE_ROUNDED
3051271661,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:875904,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.716355999067055,-73.791914,,,,,,,2005-01-01T00:00:00,,,2005,2880539,2880539,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,875904,,,,CC0_1_0,,,,,2021-03-12T01:50:26.383Z,,COORDINATE_REPROJECTED;COORDINATE_ROUNDED
3051173731,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:684830,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer saccharum,,SPECIES,Acer saccharum Marshall,Acer saccharum,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.82812099906652,-73.885271,,,,,,,2006-01-01T00:00:00,,,2006,3189859,3189859,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,684830,,,,CC0_1_0,,,,,2021-03-12T00:54:23.557Z,,COORDINATE_REPROJECTED;COORDINATE_ROUNDED
3050946661,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:791251,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Tilia,Tilia tomentosa,,SPECIES,Tilia tomentosa Moench,Tilia tomentosa,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.61668599906755,-73.96336100000002,,,,,,,2005-01-01T00:00:00,,,2005,4259350,4259350,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,791251,,,,CC0_1_0,,,,,2021-03-11T22:09:00.444Z,,COORDINATE_REPROJECTED;COORDINATE_ROUNDED
3051328912,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:1030733,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,Acer rubrum,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.686259999067204,-73.85474,,,,,,,2005-01-01T00:00:00,,,2005,3189883,3189883,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,1030733,,,,CC0_1_0,,,,,2021-03-12T02:08:10.165Z,,COORDINATE_REPROJECTED
3051153488,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:637823,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gleditsia,Gleditsia triacanthos,,SPECIES,Gleditsia triacanthos L.,Gleditsia triacanthos,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.77560999906678,-73.982157,,,,,,,2006-01-01T00:00:00,,,2006,2959443,2959443,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,637823,,,,CC0_1_0,,,,,2021-03-12T00:42:05.132Z,,COORDINATE_REPROJECTED;COORDINATE_ROUNDED
3051282653,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:897890,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Pyrus,Pyrus calleryana,,SPECIES,Pyrus calleryana Decne.,Pyrus calleryana,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.77574899906677,-73.928966,,,,,,,2005-01-01T00:00:00,,,2005,5363119,5363119,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,897890,,,,CC0_1_0,,,,,2021-03-12T01:52:41.204Z,,COORDINATE_REPROJECTED;COORDINATE_ROUNDED
3051312005,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:969351,Plantae,Tracheophyta,Magnoliopsida,Proteales,Platanaceae,Platanus,Platanus hybrida,,SPECIES,Platanus ×acerifolia (Aiton) Willd.,Platanus acerifolia,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.73800999906696,-73.861224,,,,,,,2005-01-01T00:00:00,,,2005,3152815,3152814,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,969351,,,,CC0_1_0,,,,,2021-03-12T02:00:50.126Z,,COORDINATE_REPROJECTED;COORDINATE_ROUNDED
3051133556,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:1171524,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,Acer rubrum,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.62955999906749,-74.10462,,,,,,,2005-01-01T00:00:00,,,2005,3189883,3189883,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,1171524,,,,CC0_1_0,,,,,2021-03-12T00:26:07.337Z,,COORDINATE_REPROJECTED
3050958926,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:815969,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer platanoides,,SPECIES,Acer platanoides L.,Acer platanoides,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.6280089990675,-74.024883,,,,,,,2005-01-01T00:00:00,,,2005,3189846,3189846,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,815969,,,,CC0_1_0,,,,,2021-03-11T22:20:43.685Z,,COORDINATE_REPROJECTED;COORDINATE_ROUNDED
3050902090,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:693716,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus palustris,,SPECIES,Quercus palustris Münchh.,Quercus palustris,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.886428999066254,-73.912244,,,,,,,2005-01-01T00:00:00,,,2005,8313153,8313153,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,693716,,,,CC0_1_0,,,,,2021-03-11T21:25:40.597Z,,COORDINATE_REPROJECTED;COORDINATE_ROUNDED
3050953016,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:797755,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,Ginkgo biloba,,SPECIES,Ginkgo biloba L.,Ginkgo biloba,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.679816999067235,-73.997137,,,,,,,2006-01-01T00:00:00,,,2006,2687885,2687885,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,797755,,,,CC0_1_0,,,,,2021-03-11T22:12:06.463Z,,COORDINATE_REPROJECTED;COORDINATE_ROUNDED
3051301930,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:946761,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Tilia,Tilia cordata,,SPECIES,Tilia cordata Mill.,Tilia cordata,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.66919999906729,-73.762866,,,,,,,2006-01-01T00:00:00,,,2006,3152047,3152047,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,946761,,,,CC0_1_0,,,,,2021-03-12T01:58:19.845Z,,COORDINATE_REPROJECTED;COORDINATE_ROUNDED
3050962172,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:820911,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer platanoides,,SPECIES,Acer platanoides L.,Acer platanoides,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.63200199906748,-74.011471,,,,,,,2006-01-01T00:00:00,,,2006,3189846,3189846,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,820911,,,,CC0_1_0,,,,,2021-03-11T22:23:01.003Z,,COORDINATE_REPROJECTED;COORDINATE_ROUNDED
3051187669,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:684379,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus palustris,,SPECIES,Quercus palustris Münchh.,Quercus palustris,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.805698999066635,-73.92474,,,,,,,2006-01-01T00:00:00,,,2006,8313153,8313153,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,684379,,,,CC0_1_0,,,,,2021-03-12T00:54:17.968Z,,COORDINATE_REPROJECTED;COORDINATE_ROUNDED
3051050376,c4e1739b-e225-4773-b2ca-b9dd90846c62,BISON:New York City Street Tree Census - 2005:999057,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer platanoides,,SPECIES,Acer platanoides L.,Acer platanoides,,US,,New York,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,40.75819999906687,-73.93316,,,,,,,2006-01-01T00:00:00,,,2006,3189846,3189846,HUMAN_OBSERVATION,BISON,New York City Street Tree Census - 2005,999057,,,,CC0_1_0,,,,,2021-03-11T23:21:26.438Z,,COORDINATE_REPROJECTED
